# duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
2.180000,0.512313,-0.018575,-0.253371,-0.012533,0.186809,-0.130878,0.040044,-0.004718,1.522757,-0.036283,-0.531831,0.202233,0.179442,-0.207384,0.074527,-0.009293,0.491051,0.019112,0.261754,0.058277,-0.339859,0.237804,-0.069577,0.007770,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000
2.180000,0.107238,-0.055146,0.120157,-0.035505,0.013366,-0.031208,0.013114,-0.001353,0.678121,-0.420764,0.061269,0.007316,0.039330,-0.041594,0.012951,-0.001385,0.763255,0.045402,0.051720,0.121553,-0.202493,0.141370,-0.042686,0.004609,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
2.180000,0.046479,-0.150454,0.079360,0.245413,-0.283901,0.156306,-0.044749,0.005136,0.034223,-0.331087,-0.122957,-0.037591,0.164899,-0.121647,0.037598,-0.004304,1.251261,0.429711,0.023440,-0.127002,0.039360,0.097528,-0.074765,0.014203,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
2.180000,0.320766,0.219923,-0.066634,-0.013959,0.323511,-0.372670,0.144089,-0.018661,-0.897922,-0.433276,0.017801,0.007565,0.089408,-0.082437,0.029740,-0.003972,1.973072,-0.049390,-0.223963,0.586992,-0.195856,-0.223069,0.153849,-0.026059,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
2.180000,0.395973,-0.401951,-0.022901,0.200947,-0.393901,0.377158,-0.147463,0.019928,-1.456417,-0.050942,0.044037,-0.108406,0.255365,-0.221570,0.078408,-0.009784,1.891822,-0.093252,0.097354,-0.442660,0.811544,-0.698934,0.267036,-0.036844,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000
