# duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
1.680000,0.013789,-0.012397,-0.204432,0.050721,0.006680,-0.013848,0.007545,-0.001417,-1.017773,0.017160,0.294721,0.004409,-0.205571,0.193885,-0.078910,0.011886,0.483340,0.020099,0.359860,-0.075139,-0.063012,0.035481,-0.002897,-0.001025,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.680000,-0.359521,-0.311836,0.011063,0.025256,-0.017688,0.087547,-0.059654,0.011675,-0.504252,0.402577,-0.059475,-0.074206,0.012423,-0.009027,0.014800,-0.004173,1.045545,0.417213,-0.037664,-0.057588,0.020801,-0.031192,0.021711,-0.004283,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.680000,-0.601903,0.138181,0.143250,-0.024599,-0.136839,0.134477,-0.042039,0.003626,-0.194376,-0.017936,-0.055599,-0.005584,0.173624,-0.175878,0.067706,-0.008437,1.441716,0.024469,-0.064096,0.066652,0.121474,-0.149879,0.041947,-0.001532,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.680000,-0.180682,0.367069,0.074165,-0.124455,-0.275893,0.402658,-0.185706,0.029167,-0.174984,0.144678,0.236156,0.265772,-0.539061,0.302915,-0.061167,0.001746,1.465054,-0.165107,-0.196076,0.203639,-0.276159,0.408474,-0.232633,0.043839,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.680000,0.172579,0.046283,-0.125383,-0.092815,0.384352,-0.502438,0.276404,-0.052945,0.445249,0.392726,-0.007948,-0.121017,0.399895,-0.370314,0.111619,-0.007125,1.292083,0.151811,0.045464,0.038205,-0.229605,0.255378,-0.124899,0.022869,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
