# duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
2.160000,0.011180,-0.016069,-0.219989,0.003924,0.129145,-0.075019,0.016385,-0.001237,1.019842,-0.042049,-0.525780,0.166242,0.278440,-0.276921,0.096113,-0.011816,0.499767,0.016787,0.157821,0.096824,-0.361967,0.228275,-0.058219,0.005484,-0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000
2.160000,-0.333688,-0.127436,-0.010749,-0.020208,-0.103201,0.179472,-0.079041,0.010939,0.361031,-0.188039,0.154226,0.021514,-0.147530,0.135281,-0.050088,0.006427,0.392481,-0.217207,0.063276,0.064130,-0.096621,0.091945,-0.034637,0.004356,-0.000000,-0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000
2.160000,-0.298453,0.395081,0.048676,-0.135353,0.209136,-0.121156,0.014576,0.002226,0.363436,-0.005288,-0.211884,-0.140455,0.429223,-0.288266,0.084252,-0.009672,0.522576,0.391474,0.031568,-0.143358,0.196609,-0.176763,0.075273,-0.011458,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
2.160000,0.242505,-0.350669,-0.226481,0.652637,-0.763138,0.462830,-0.135866,0.015291,0.172183,-0.066770,-0.197804,-0.269129,0.423233,-0.226284,0.056651,-0.005640,1.170544,0.297676,0.057231,-0.249676,0.009039,0.192299,-0.104743,0.016182,-0.000000,-0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000
2.160000,-0.288907,-0.041309,0.018097,-0.081341,0.032922,-0.005969,0.004075,-0.001043,-0.517651,-0.283945,0.030090,-0.048950,0.095472,-0.054887,0.007189,0.001239,1.714887,0.299235,-0.150750,0.017684,-0.161295,0.104198,-0.016217,-0.000276,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000
