# duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
2.180000,0.505195,0.002073,-0.043147,-0.027831,0.049602,-0.043079,0.016504,-0.002225,1.019920,-0.021382,-0.340244,0.023673,0.156789,-0.121626,0.038771,-0.004446,0.503943,-0.005715,-0.072940,-0.013653,0.083686,-0.065484,0.022753,-0.003048,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000
2.180000,0.266454,-0.188040,0.017049,0.018465,-0.031438,0.001577,0.005311,-0.001152,0.275314,-0.292083,0.221763,0.129268,-0.354670,0.244201,-0.071976,0.007963,0.398249,-0.013866,-0.003729,-0.091040,0.374690,-0.378113,0.147062,-0.019814,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
2.180000,-0.203082,-0.271863,0.012817,0.009062,0.230781,-0.204348,0.066983,-0.007931,0.182740,0.117162,0.103624,0.023176,-0.278269,0.241160,-0.080229,0.009401,0.401302,0.057514,0.245999,0.015793,-0.265745,0.244092,-0.087178,0.010997,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
2.180000,-0.156230,0.229370,-0.026444,-0.080373,0.079628,-0.045663,0.019441,-0.003488,0.347909,-0.037036,-0.155116,-0.135365,0.163907,-0.065404,0.010973,-0.000537,1.091567,0.415778,-0.103432,-0.071953,0.052087,-0.064164,0.038781,-0.007042,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
2.180000,0.206036,0.233692,-0.032907,-0.285303,0.229000,-0.170695,0.088040,-0.016284,-0.338556,-0.398291,0.019828,0.035064,0.042379,-0.142100,0.092166,-0.017467,1.292990,0.017350,0.120949,-0.197926,0.202213,-0.074543,0.001291,0.002580,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000
