# duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
1.680000,0.515185,-0.016827,-0.245319,0.044776,0.025622,-0.029123,0.017032,-0.003434,1.013047,-0.005565,-0.185059,0.050444,-0.017899,0.003173,0.002289,-0.000762,0.496042,-0.002535,0.054395,-0.038335,0.052925,-0.039174,0.017200,-0.003118,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.680000,0.074407,-0.308849,0.103334,0.052708,0.059091,-0.087672,0.037265,-0.005676,0.643144,-0.349459,-0.024115,0.024330,0.000570,-0.008713,0.002673,-0.000046,0.629810,0.189517,0.078828,-0.026598,0.117754,-0.118779,0.045477,-0.006242,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.680000,0.017958,0.212341,0.070053,-0.073328,0.051857,-0.037162,0.013155,-0.001738,0.049667,-0.353243,0.001607,0.023024,-0.061452,0.063908,-0.026855,0.004144,1.179692,0.400923,-0.013385,-0.015277,-0.043485,0.003359,0.008099,-0.001388,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.680000,0.370609,0.113081,-0.099871,-0.010629,-0.006734,0.033268,-0.023271,0.005077,-0.511570,-0.277105,0.063117,0.022542,-0.020976,0.011833,-0.007213,0.001661,1.571240,-0.032511,-0.089860,0.168357,-0.163589,0.122231,-0.060636,0.011604,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.680000,0.288438,-0.184753,-0.043909,0.091655,-0.336495,0.402697,-0.175813,0.025548,-0.800239,-0.118427,-0.012387,-0.005266,-0.076835,0.108180,-0.041149,0.004116,1.468962,-0.185805,-0.200000,0.003951,0.160753,-0.159903,0.089946,-0.019796,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
