# duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
1.920000,-0.497414,-0.008476,-0.068328,0.048400,-0.102879,0.129575,-0.062044,0.010196,-1.007292,0.005774,0.137657,-0.089275,0.116159,-0.106820,0.043552,-0.006361,0.494343,-0.004107,0.021093,-0.050631,0.052730,0.052992,-0.052530,0.010962,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.920000,-0.567667,0.018611,0.045784,0.101894,-0.178331,0.201504,-0.100330,0.017155,-0.759254,0.165011,0.024478,0.004641,0.066961,-0.053121,0.016026,-0.002165,0.727912,0.230995,-0.054909,0.085792,-0.145343,0.133112,-0.058063,0.009428,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.920000,-0.183937,0.273071,-0.101539,0.117375,-0.191368,0.122063,-0.034008,0.003536,-0.200752,0.346504,-0.146793,-0.200286,0.507307,-0.332076,0.089948,-0.008713,1.072298,0.114957,-0.023933,0.141539,-0.497805,0.452116,-0.169806,0.023428,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.920000,0.017487,-0.026836,-0.013598,0.015098,0.011589,0.022101,-0.020746,0.004110,0.403414,0.392835,-0.022235,0.042985,-0.244549,0.242241,-0.090489,0.011884,0.984926,-0.152906,0.003896,0.090865,-0.124067,0.127710,-0.057228,0.008810,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.920000,0.112879,0.111253,-0.082860,-0.062984,0.058487,-0.039252,0.019829,-0.003456,0.987021,0.320136,0.027750,-0.062313,0.086833,-0.067423,0.019215,-0.001688,0.975498,0.162341,-0.015996,-0.064818,-0.033411,0.047316,-0.012547,0.000863,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
