# duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
2.060000,-0.015165,0.017600,0.258709,-0.030577,-0.094301,0.074002,-0.024199,0.002939,-1.520932,0.022726,0.387065,0.085587,-0.461802,0.371123,-0.127142,0.016297,0.498470,-0.022428,-0.157528,0.001412,0.153293,-0.040808,-0.014820,0.004906,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.060000,0.512058,0.245791,-0.109432,-0.045805,0.010202,0.003712,-0.002737,0.000712,-0.782681,0.393771,-0.047258,0.072085,-0.363305,0.327846,-0.110716,0.012938,0.682688,0.358450,0.006074,0.034247,-0.170947,0.164989,-0.062627,0.008228,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.060000,0.377914,-0.325599,0.007080,0.166029,-0.248883,0.169237,-0.043176,0.002988,-0.346441,0.210134,-0.020273,-0.211746,0.490034,-0.344435,0.104606,-0.011977,1.297750,0.159572,-0.218828,-0.136318,0.220756,-0.109243,0.025078,-0.002187,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.060000,0.155752,0.340969,0.155527,-0.368473,0.358410,-0.222008,0.069855,-0.008414,0.304973,0.429184,-0.035832,-0.050355,0.094425,-0.058542,0.011309,-0.000189,1.001144,-0.182691,0.079867,0.052805,-0.377244,0.361336,-0.121961,0.013747,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.060000,0.529286,-0.118794,-0.088672,0.073824,0.099121,-0.097931,0.031499,-0.003912,0.959927,0.086902,-0.153256,0.101227,-0.044331,0.034490,-0.016720,0.002679,0.880142,0.369800,0.153060,-0.380881,0.431458,-0.264582,0.078138,-0.008933,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
