# duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
2.140000,-0.501282,-0.008865,-0.033621,0.032725,-0.024347,0.028231,-0.012233,0.001772,-1.520662,0.021708,0.360550,-0.043670,-0.121209,0.084123,-0.023308,0.002392,0.483475,0.007477,0.212139,-0.033894,-0.014652,0.017890,-0.008051,0.001232,-0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000
2.140000,-0.407763,0.200054,0.096083,0.020246,-0.077219,0.069132,-0.027777,0.004084,-0.764474,0.366562,-0.083698,-0.041161,0.045257,-0.038572,0.016187,-0.002384,1.114346,0.411463,-0.026634,-0.013930,0.050654,-0.038642,0.007241,-0.000120,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
2.140000,0.313487,0.377163,-0.010195,0.078225,-0.734376,0.669746,-0.231761,0.028636,-0.483991,-0.071498,-0.039004,0.002804,0.169877,-0.109627,0.021389,-0.000608,1.735168,-0.091290,-0.346653,-0.018948,0.363148,-0.267655,0.079034,-0.008599,-0.000000,-0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000
2.140000,0.123858,-0.306678,0.030127,0.056819,-0.126386,0.158357,-0.069967,0.010201,-0.216189,0.314793,0.058918,0.182738,-0.296295,0.172903,-0.044322,0.004133,1.193533,-0.164843,0.037915,0.011378,0.314328,-0.330132,0.109895,-0.011591,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
2.140000,-0.004388,0.271109,0.044974,0.000820,-0.146385,0.164185,-0.069841,0.010235,0.656720,0.436759,-0.012410,-0.089092,0.174062,-0.104401,0.022712,-0.001625,1.073920,-0.342611,0.040782,0.614852,-0.777511,0.505257,-0.169940,0.022324,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000
