# duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
1.920000,0.006359,-0.012608,-0.152841,0.005335,0.066721,-0.003464,-0.018209,0.004767,1.516296,-0.011775,-0.260364,0.062950,0.008650,-0.009424,0.002852,-0.000365,0.497082,-0.006118,-0.001466,-0.114374,0.219062,-0.099044,0.007795,0.002197,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.920000,-0.180893,-0.065901,0.008669,0.079775,-0.048191,0.025010,-0.009521,0.001314,0.958870,-0.392322,0.007944,0.012131,0.020004,0.025770,-0.035744,0.009002,0.664887,0.186118,-0.032698,0.065038,0.098225,-0.130116,0.053206,-0.007790,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.920000,-0.063776,0.154783,-0.048563,-0.091326,-0.037004,0.088873,-0.038414,0.005334,0.340180,-0.349393,-0.009610,0.337424,-0.532803,0.365976,-0.118484,0.014715,1.218000,0.317241,-0.117852,-0.150826,0.034186,0.094334,-0.065062,0.012295,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.920000,-0.187431,-0.194116,-0.010857,-0.000355,0.074526,-0.031528,0.001736,0.000306,-0.189655,-0.260639,-0.036888,-0.036622,0.073853,-0.077199,0.035252,-0.005594,1.174213,-0.299885,-0.079537,0.226918,-0.306780,0.246655,-0.093876,0.013403,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.920000,-0.296140,0.106979,-0.074561,-0.199010,-0.002821,0.200528,-0.117525,0.020553,-0.868017,-0.404972,0.042179,0.014055,-0.110109,0.102709,-0.031481,0.003172,0.764346,-0.017866,0.107957,0.049630,-0.097833,0.083072,-0.039571,0.006836,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
