# duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
1.380000,-0.000812,0.005247,0.039243,-0.044087,0.033783,-0.018460,0.003916,-0.000101,1.018690,-0.013046,-0.297971,0.110922,-0.054375,0.029493,-0.006099,-0.000191,0.485775,0.019376,0.291929,-0.115599,0.102007,-0.117123,0.056876,-0.010187,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.380000,0.021519,-0.005201,-0.039945,-0.016107,0.002678,0.039050,-0.028667,0.005825,0.631204,-0.430889,-0.036815,0.027640,0.029505,-0.069539,0.044849,-0.009762,0.844159,0.328554,-0.075718,-0.086615,0.116877,-0.038454,-0.005199,0.003398,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.380000,-0.041381,-0.050417,0.002972,-0.024997,-0.174813,0.299267,-0.164944,0.030548,0.014791,-0.450616,0.000995,-0.015663,0.188601,-0.235215,0.107727,-0.016473,1.153632,0.164189,-0.035162,-0.015762,-0.274279,0.434063,-0.233830,0.043183,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.380000,-0.155258,-0.072155,0.004505,-0.082767,-0.250858,0.411453,-0.212506,0.038241,-0.552513,-0.381488,0.038684,0.117278,-0.004768,-0.060504,0.024718,-0.001876,1.246121,0.030996,-0.008841,-0.072396,-0.280759,0.419609,-0.206544,0.035764,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.380000,-0.417524,-0.241082,0.067419,0.052746,0.002862,0.098822,-0.123667,0.034820,-0.864351,-0.100416,0.027128,-0.000235,-0.199240,0.261275,-0.107775,0.012427,1.077986,-0.222672,0.033691,0.052345,0.086558,0.006853,-0.087320,0.030262,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
