# duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
0.500000,0.528096,-0.066925,-0.823031,0.704005,-0.122472,-0.002965,0.020565,-0.148600,-0.500309,0.001433,0.013792,-0.013694,0.000215,0.003248,0.002248,0.000752,1.000515,0.003699,0.034299,-0.052754,0.000199,0.007973,0.002944,-0.001898,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.500000,0.368290,-0.436512,-0.032677,0.177997,-0.402373,0.320790,0.121993,-0.222630,-0.497701,0.006581,0.000235,0.002122,0.004161,0.001496,-0.002220,-0.004591,1.004638,0.001369,-0.033053,-0.029216,0.010335,0.012878,0.006640,0.001486,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.500000,0.149157,-0.438108,0.000014,-0.006794,-0.034437,0.065657,-0.002719,-0.047840,-0.493850,0.010037,0.006435,-0.001409,-0.020584,-0.008002,0.005735,0.013767,0.994571,-0.042996,-0.038076,0.043500,0.054057,0.015892,-0.021385,-0.042243,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.500000,-0.071259,-0.445632,-0.013705,-0.022972,0.098099,-0.162879,-0.030570,0.258332,-0.488738,0.005204,-0.022145,-0.018130,0.022573,0.010760,-0.001899,-0.009018,0.972202,-0.025083,0.080354,0.045476,-0.079903,-0.031232,0.013286,0.035269,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.500000,-0.297791,-0.455892,0.036259,0.254707,0.402059,-0.121015,-0.121146,-0.024721,-0.492291,-0.017231,-0.009728,0.029443,0.005186,-0.000770,-0.003288,-0.003672,0.979947,0.046015,0.025275,-0.082042,-0.010769,0.004849,0.010314,0.010456,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
